	Unnamed: 0	text	target
60	60	Кредиты юридическим лицам банк втб 24	0
61	61	Россельхозбанк кредит на развитие тепличного хозяйства	0
62	62	И одной из контор-мошенников составляет банк Сбербанк России под крыш ой правительства.	-1
63	63	Обслуживание кредитной карты альфа банка	0
64	64	Он не под крышой... походу, он сам крыша... Сбербанк используют, вопрос почему и кто позволяет..	-1
65	65	Кредитный калькулятор сбербанк украины	0
66	66	Россельхозбанк утвердил Программу развития региональной сети до 2020 года |	1
67	67	Отказ от повышения налогов сохранит и даже ускорит рост ВВП РФ - Sberbank CIB	0
68	68	Льготное кредитование на автомобили 2014 сбербанк	1
69	69	"Новые санкции США в отношении Внешэкономбанка (ВЭБ), Газпромбанка, ""Роснефти"" и НОВАТЭКа вызвали рост неопределенности и недоверия, что мож"	-1
70	70	Расчет потребительского кредита в россельхозбанке	0
71	71	получение автокредита втб 24 без прописки в москве	0
72	72	Проверка баланса на кредитной карте sberbank	0
73	73	Кредиты в россельхозбанке в кабардино балкарии	0
74	74	СМИ Сбербанк поможет своему должнику построить Керченский мост: Глава Сбербанка Герман... новости	0
75	75	Если терминал по-прежнему не работает,то тогда через сбербанк онлайн придется	-1
76	76	Туры в кредит альфа банк	0
77	77	инструкция по инкассации денежных средств в сбербанк по сбербанк	0
78	78	RT Уралсиб Банк Сарапул Заявка На Кредит	0
79	79	«Райффайзен Банк Аваль» за полгода получил 1 млрд гривень убытка	-1
80	80	Где получить кредит до 75 лет Кредиты для пенсионеров в ВТБ 24 в 60 65 70 лет в 2014 году	0
81	81	Взять выгодный кредит онлайн в ВТБ 24 под залог квартиры или другой недвижимости	1
82	82	"RT Информация Банка России ""О деятельности Газпромбанка и Внешэкономбанка"""	0
83	83	Правлением ОАО «Россельхозбанк» утверждена Программа развития региональной сети Банка до 2020 года, призванная решить сразу несколько страт	1
84	84	RT Никогда не переводите деньги из qiwi в альфабанк это 5 !!! календарных дней минимум и потом еще поиск этих денег! банки 21…	-1
85	85	Журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком в России	1
86	86	За полгода благодаря ипотеке от Россельхозбанка жилищные условия улучшили больше 300 красноярских семей. Филиал выдал на эти цели в общей с	1
87	87	Журнал Global Finance признал Сбербанк Онлайн: По результатам проведенного исследования журнал Global Finance ...	1
88	88	сбер собираюсь открыть сегодня.	1
89	89	Но и когда уже Вы созреете господа банкиры.	0
90	90	Раньше в Альфа банке такие красивые девочки работали, а щас какие-то забитые мыши	-1
91	91	Сбербанк России намерен построить недвижимость во всей стране: В скором времени Сбербанк России намерен вложит...	0
92	92	Взять кредит в втб 24 наличными	0
93	93	Оформить заявку на кредит райффайзенбанк	0
94	94	Под санкции Канады попали Газпромбанк и ВЭБ klerk	-1
95	95	"21 июля. FINMARKET.RU - Рост неопределенности и недоверия, вызванный новым раундом санкций США в отношении ВЭБа, Газпромбанка, ""Роснефти"" и"	-1
96	96	Сбербанк взять кредит на машину	0
97	97	tlt Поволжский Сбербанк проведет семинар по брокерскому обслуживанию тлт	0
98	98	В скором времени Сбербанк России намерен вложить энную сумму средств в строительство объектов недвижимости на всей территории страны. Общая	1
99	99	Взять кредит в альфа банке нижнего новгорода	0
100	100	Взять кредит в альфа банк в спб	0
101	101	Сотрудники Банка расскажут, как грамотно инвестировать в рынок ценных бумаг и получать от этого прибыль... . Поволжский Сбербанк провед	1
102	102	Как взять кредит в альфа банке по интернету	0
103	103	Взять кредит в россельхозбанке кемерово	0
104	104	RT Рейтинг стоимости брендов: Apple — лидер, две российские компании — Сбербанк и МТС вошли в топ-100	1
105	105	Как взять кредит россельхозбанке	0
106	106	Поволжский Сбербанк проведет семинар по брокерскому обслуживанию	0
107	107	я всего лишь заменил сим карту (не номер) и теперь для разблокировки симкарты мне надо ехать в отделение Альфа-Банк.	-1
108	108	образец кредитного договора сбербанк россии россии договора	0
109	109	Как взять кредит в россельхозбанк в марий эл	0
110	110	Банк Москвы будет гореть в Аду. Я лично спущусь с Небес. Проверить.	-1
111	111	Получить небольшой кредит в райффайзен банке	0
112	112	Я просто зашла в Альфа банк и увидела этот журнал )Мило	0
113	113	Со скольких лет можно взять кредит в альфа банке	0
114	114	Банк Москвы отчитался о первых результатах в работе с региональными операторами: Банк Москвы одним из... novosti	0
115	115	Взять потребительский кредит в альфа банке за 30 мин	0
116	116	Взять кредит в альфа банке наличными	0
117	117	"Ограничительные меры затронут такие организации, как Газпромбанк, Внешэкономбанк, ""Калашников"", ""Конструкторское бюро приборостроения"", ""Но"	-1
118	118	Сбербанк россии как взять кредит на неотложные нужды	0
119	119	Как оформить кредит в россельхозбанк	0
120	120	Сбербанк Онлайн лучший интернет-банк в России: Сбербанк Онлайн позволяет клиенту управлять сво... Саратов	1
121	121	Взять кредит в оао россельхозбанк 800 т	0
122	122	Сбербанк россии взять кредит онега	0
123	123	По результатам проведенного исследования журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком в России в 2014 год	1
124	124	раз уж на то пошло... Лентяи работающие с физиками.	-1
125	125	Оформить кредитную карту сбербанк без справок	0
126	126	Взять кредит наличными в втб 24 калькулятор	0
127	127	Взять кредит альфа банк город спасск дальний	0
128	128	Сбербанк кредит хоть я не работаю могу взять или нет	0
129	129	Комиссия будет начисляться согласно тарифам по переводу на другие карты.	0
130	130	Доверительный кредит втб 24 на каких условиях взять	0
131	131	Лайфхак дня: напишите на стене Сбербанк и через пол часа там выстроиться очередь из 30 пенсионеров	-1
132	132	Взять потребительский кредит в газпромбанке	0
133	133	передал через хостес что занят, но при этом когда к нему сходила операционист с вопросом, он ее принял	-1
134	134	Взять кредит в россельхозбанке город можга	0
135	135	Новые санкции затрагивают и Газпромбанк sledui	-1
136	136	Взять кредит в райффайзенбанке в омске	0
137	137	банкомат компании Сбербанк съел деньги и испортил мне вечер и выходные, падла	-1
138	138	Оформить кредитную карту райфайзенбанкаваль	0
139	139	Как взять кредит в альфа банке	0
140	140	ВЭБ, ВТБ, Сбербанк - касса Путина. никогда не доверю им деньги	-1
141	141	Судебные приставы Ботлихского района совместно с работниками ОАО «Россельхозбанк» провели рейдовые мероприятия по взысканию кредитной задол	0
142	142	RT Россия: Сбербанк повысил процентные ставки по ипотеке	-1
143	143	Сбербанк рф как взять кредит в сумме 150000 руб	0
144	144	Оформить заявку на кредит в газпромбанке в костроме	0
145	145	Оформить кредит в альфа банк	0
146	146	курс доллара в Орше покупка продажа / / Банк БелВЭБ 10 270 10 320 / Банк ВТБ (Беларусь) 10 230 10 350 / Банк М..	0
147	147	Банк москвы в улан удэ оформить кредит через	0
148	148	Впизду эти карточки, лучше с наличкой двигаться! Возьму на заметку Ярик, мало ли со мной такое случится	-1
149	149	курс рубля в Витебске покупка продажа / / Банк БелВЭБ 291 295 / Банк ВТБ (Беларусь) 276 298 / Банк Москва - Ми..	0
150	150	Взять кредит уралсиб банк калининград	0
151	151	образец договора банковского вклада сбербанк банковского вклада	0
152	152	С 25 июля по 25 августа 2014 года Новгородский региональный филиал ОАО «Россельхозбанк» проводит месяц продаж…	0
153	153	RT Сбербанк застрахует имущество на полтриллиона рублей	0
154	154	В Вологодской области Сбербанк выдал 1400 кредитов «Доверие» для малого бизнеса	0
155	155	minecraft ПОРТАЛ В РАЙФФАЙЗЕН bank	0
156	156	В 2013 году Сбербанк каждый час выдавал жилищных кредитов на 10 млн рублей.В Северном банке Сбербанка России подведены итоги розничного кре	1
157	157	"здравствуйте, возможно ли отправить денги в Турцию? У вас просто ""western union"" нет. Спасибо заранее."	0
158	158	RT сбербанк коварные. чем смсочки с днем рождения отправлять, лучше бы высылали деньги	-1
159	159	iPhone Введение ограничительных мер затронет Внешэкономбанк, Газпромбанк, «Конструкторское бюро приборостроен...	-1
160	160	к сожалению.. но он только шестёрка, нет?как и Греф, кстати.А СБЕР в крыму НЕ БУДЕТ ИМЕТЬ ФИЛИАЛЫ,сейчас его укр-дочка	-1
161	161	С 1 августа Сбербанк начнет выдавать кредиты на покупку 8230;	1
162	162	Путевка в кредит от альфа банка	0
163	163	Как узнать могу ли я взять кредит в альфа банке	0
164	164	«Газпром» пользуется услугами Газпромбанка, несмотря на санкции США	1
165	165	образец претензии в сбербанк россии о снятие ареста снятие	0
166	166	Как взять кредит сбербанк волгоград	0
167	167	Оформить кредитную карту в альфа банке	0
168	168	Сбербанк получить кредит военная пенсия	0
169	169	бланк на госпошлину загранпаспорта в сбербанк в бланк	0
170	170	"Украина хочет разместить для финансирования АТО ""военные"" облигации через Сбербанк России"	0
171	171	доверенность сбербанк бланк	0
172	172	Взять потребительский кредит в банк москвы	0
173	173	Сбербанк как получить кредит пенсионеру	0
174	174	Новости экономики: Сбербанк поможет в строительстве Керченского моста	1
175	175	Туры кредит альфа банк	0
176	176	Сбербанк всегда со своими клиентами. Вы работаете - Сбербанк тоже работает. Вы вышли с работы - Сбербанк уже закрылся.	-1
177	177	Вчера что-то про сбербанк говорил? Я повторюсь...	0
178	178	бланк доверенности на получение карт пин-конвертов альфа банк доверенности карт	0
179	179	Оформить кредитную карту в россельхозбанке онлайн	0
180	180	RT Пресс-релиз банка: Газпромбанк предоставил ОАО «Алтайэнергосбыт» овердрафтный кредит в размере 1,3 млрд рублей	1
181	181	Почему Сбербанк России активно кредитует модернизацию украинского ВПК | Stockinfocus.ru	0
182	182	Сложно ли взять кредит в альфа банке	0
183	183	С 1 августа Сбербанк начнет выдавать кредиты на покупку недвижимости в Хорватии	1
184	184	RT И все-таки сбербанк это ад	-1
185	185	банк втб 24 выдача автокредитов	0
186	186	Получить кредит в сбер банке	0
187	187	образец заявления-анкеты для открытия пластиковой карты в райффайзенбанке заявления-анкеты открытия	0
188	188	Как взять кредит в банке сбербанк приозерск	0
189	189	"Снял деньги с карты Сбера, думал, сейчас начислят кучу бонусных ""Спасибо"". Оказалось - фиг. Придется положить обратно. Сбер не обхитришь. :)"	-1
190	190	При поддержке Россельхозбанка в Оренбуржье создается новая линия по переработке... mol	0
191	191	Сбербанк взять кредит и его проценты	0
192	192	руководство воронежского филиала газпромбанка руководство	0
193	193	телефонный справочник сбербанк 8623 сбербанк	0
194	194	ВТБ разместил еврооблигации на 350 млн швейцарских франков Банк ВТБ через зарегистрированную в Люксембурге дочернюю компанию VTB	1
195	195	А у кого-нибудь еще sberbank-online не работает? Или это только у меня такая проблема? Не дает оплатить ВООБЩЕ НИЧЕГО. Пишет: ОШИБКА.	-1
196	196	Около 5 тысяч кировчан обслуживаются в формате Сбербанк Премьер	0
197	197	оао сбербанк россии россии руководство контакты россии контакты	0
198	198	пегас туры в кредит альфа банк	0
199	199	Взять кредит сбербанк	0
200	200	банк клиент сбербанк скачать	0
201	201	Сбербанк запускает новый ипотечный продукт для участников накопительно-ипотечной системы обеспечения жильем военнослужащих. Сбербанк запу	1
202	202	Приставы помогают Россельхозбанку взыскивать кредиты у должников Ботлихского района.Судебные приставы Ботлихского района совместно с работн	0
203	203	Журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком в России.По результатам проведенного исследования журнал Glo	0
204	204	информатор разбудил утром, чтобы рассказать о долге в 300р, а специалист центра задолженностей оказался хамом. Доброеутро :(	-1
205	205	Сбербанк онлайн оформить заявку на кредит наличными	0
206	206	Интернет-агентство «ДАЛЕЕ завершило перезапуск сайта Сбербанк Первый	0
207	207	Получить кредит райффайзенбанке	0
208	208	Хочу взять кредит в втб 24 какие условия	0
209	209	Кемерово взять кредит банк москвы	0
210	210	Пздц я лох вчера карту потерял сбербанк сегодня сотку	0
211	211	RT Правила Получения Кредита Сбербанк Г Ульяновск	0
212	212	Дальневосточный Сбербанк предлагает приобрести подарочные монеты ко Дню Военно-морского флота	0
213	213	Россельхозбанк выпустил платежную карту в поддержку амурских тигров	1
214	214	Взять кредит сбербанк 200тыс	0
215	215	Райффайзен банкоматы москва	0
216	216	Могу ли взять кредит в райффайзен банк аваль	0
217	217	Россельхозбанк оформить кредит онлайн	0
218	218	RT НАПИШИ на пустой стене слово РОССИИ-как тут же около надписи образуется длинная очередь из …	-1
219	219	В путешествие с кредитной картой Райффайзенбанка	0
220	220	многа ДМ) спойлер - сбербанк говно,но мисшн комплитд	-1
221	221	Как получить кредит в россельхозбанке фермеру	0
222	222	Третий день в разное время (иногда весьма позднее )сотрудники Альфа банка пытают, знаю ли я Орехову Веру Павловну.Не знаю и позвать не могу!	-1
223	223	"У меня такая история с alfabank длилась 3 месяца, и длилась бы еще, если бы про нее не написала газета ""Ведомости""."	-1
224	224	RT Дальневосточный Сбербанк предлагает приобрести подарочные монеты ко Дню Военно-морского флота	0
225	225	Альфа банк как взять кредит	0
226	226	Помогите мне,нужно дорогое лечение в Москве.номер карты сбербанк 639002629019890903 действие карты до 07.17	0
227	227	Всё больше кировчан пользуются мобильным приложением Сбербанк Онл йн	1
228	228	"""Если вы платите с карточки, то скидка будет не 8, а 5%, потому что Сбербанк берет комиссию"". Эра кэша никогда не уйдет."	-1
229	229	RT Сбербанк на телефон	0
230	230	а если две карты?	0
231	231	банкомата в Отрадном до сих пор, уже больше года, не могут исправить проблему с выдачей налички.	-1
232	232	"""Сбербанк Онлайн"" признан лучшим интернет-банком в России. Более того, Сбербанк выиграл в трех номинациях в рейтинге лучших банков в Центра"	1
233	233	"Рок-тусэ с Альфа банком! picstitch Турбаза ""Лесная """	1
234	234	Инновационные продукты для бизнеса представил Сбербанк на IT-Форуме в Вологде	1
235	235	образец анкеты кандидата на работу в сбербанк работу анкеты	0
236	236	"RT многоуважаемый с традиционно ""устойчивой"" связью поставил в неловкое положение в ресторане..."	-1
237	237	Ка получить потребительский кредит в альфа банке	0
238	238	Можно ли взять кредит в банке сбербанк россии	0
239	239	"Щас мамой пойдем в альфа банк. АЛЬФА банк. Моя жизнь изменилась."" Ахахахахваа"	0
240	240	Банк втб киров взять кредитную карту через онлайн	0
241	241	К тому же, Сбер дал мне кредит в 19 лет, когда все остальные банки побоялись)))	1
242	242	Когда же глава Сбербанка России и его администрация начнут думать головой.	-1
243	243	Альфа банк взять второй кредит по зарплатной карте	1
244	244	пошаговая инструкция сбербанк получение логина и пароля сбербанк логина	0
245	245	RT Скидываетесь на подарок? Отправьте SMS на номер 900: ПЕРЕВОД 9ХХХХХХХХХ 500 (то есть телефон того, кто собирает деньги и сум…	0
246	246	15 ноября ОАО &amp;laquo;Россельхозбанк&amp;raquo; провел в Краснодаре &amp;laquo;Открытый диалог&amp;raquo; &amp;mdash; региональное совещание по проблемам и	0
247	247	Как получить кредит через сбербанк онлайн	0
248	248	Фактически это означает, что Сбербанк России (MOEX: SBER), ВТБ (MOEX: VTBR) и Россельхозбанк (MOEX: RSHB) могут лиш..	0
249	249	Как оформить кредитную карту альфа банка	0
250	250	Кроме того, Сбербанк победил еще в трех номинациях...	1
251	251	По состоянию на 10 часов утра 24 июня рейтинг банков Бурятии, за которые голосуют посетители сайта «Байкал Финанс», возглавил Сбербанк Росс	1
252	252	Спб взять кредит альфа банк	0
253	253	1. поймите, что Сбер этот только в виду российский.	0
254	254	Да, мобильники здесь должны завоевывать рынок. И Сбер очень продвинулся на этой стезе.	1
255	255	С 25 июля по 25 августа 2014 года во всех отделениях Россельхозбанка на территории Республики Марий Эл пройдет «Месяц продаж ипотечных кред	1
256	256	Потребительский кредит в Сбербанк Ульяновск	0
257	257	«Райффайзен Банк Аваль» закрывает крымские филиалы	-1
258	258	Взять кредит в филиал тульский оао альфа банк	0
259	259	Оформить кредит в россельхозбанке	0
260	260	образец заполнения заявления о спорной операции по карте сбербанк сбербанк о	0
261	261	Оформить кредит в альфа банке мурманск	0
262	262	Ну, а кому принадлежит Сбер и кто его контролирует, рассказывать не надо, а уж получить 2О миллионов долларов кредита	0
263	263	Правлением ОАО «Россельхозбанк» утверждена Программа развития региональной сети Банка до 2020 года, сообщили РИА «Дагестан» в пресс-службе	1
264	264	Россельхозбанк утвердил Программу развития региональной сети до 2020 года	1
265	265	В сентябре текущего года клиенты Северного банка Сбербанка России совершили через Сбербанк Онлайн более 35 тысяч платежей за услуги ЖКХ. Об	1
266	266	Хочу взять кредит банк уралсиб	0
267	267	Взять кредит в альфа банке сейчас	0
268	268	В мае 2013 года в Москве появятся первые 100 пунктов проката велосипедов.Банк Москвы приобретает около одной тысячи велосипедов, которые в	1
269	269	RT «Райффайзен Банк Аваль» за полгода получил 1 млрд гривень убытка	-1
270	270	Взять кредит на 400000 тысяч сбербанк на 4 года	0
271	271	Как взять кредит в газпромбанке и склька проц	0
272	272	Взять кредит в райффайзенбанк	0
273	273	Между АО Банк ВТБ (Грузия) и ЕБРР подписано соглашение, согласно которому банки будут совместно осуществлять финансирования корпоративных к	1
274	274	Россельхозбанквзять кредит в москве без регистрации	0
275	275	"Годовой отчет ИТ-монстра КРОК: в прошлом Сбербанк и ВТБ, впереди роботы и ""умные города"":)"	-1
276	276	Эм. Почта фиг с ней, но вот Сбер и РЖД пусть будут, а? Они ж исправляются в последнее время. Особенно Сбер	1
277	277	"за сегодня эти двое успели раза 2-3 сказать друг другу: ""у меня СберБанк RT"	0
278	278	RT банк москвы г краснодар потребительский кредит	0
279	279	В Ульяновске бывший директор филиала Россельхозбанка осужден за хищение 2,5 млн рублей	-1
280	280	Альфа банк оформить заявку на кредит без залога	0
281	281	Ипотечный кредит в ВТБ 24 условия и преимущества - Почему...	0
282	282	Вывожу и обмениваю з Webmoney , qiwi , Яндекс деньги , PM , на на Приватбанк, Альфа-Банк, ВТБ24, СберБанк и другие...- Очень высокие гарант	0
283	283	RT Условия Получения Кредита В Россельхозбанке В Нижнем Новгороде	0
284	284	В любую какую удобно личку. Оплатить сожно на сбер карту, яндекс кошель или приват карту. Как удобнее?	0
285	285	Взять потребительский кредит сбербанк россии	0
286	286	На днях в Марийском филиале Россельхозбанка были подведены итоги акции «Ипотека от Россельхозбанка – дизайн интерьера в подарок». По ее усл	0
287	287	Госбанки догоняют рынок: Сбербанк 23 июня повысил ставки по отдельным видам вкладов - онлайн-депозитам и сберегательным сертификатам. Его к	1
288	288	Райффайзен Банк Аваль сообщает клиентам — пользователям системы «Райффайзен Аваль Онлайн» (интернет-банкинг для физических лиц) о снятии ли	0
289	289	банк москвы хабаровск руководство хабаровск банк	0
290	290	бизнес онлайн пользователя сбербанк инструкция	0
291	291	Оформить заявку на кредит наличными банк москвы	0
292	292	Оформить кредит в альфа банке онлайн	0
293	293	RT Вывожу и обмениваю з Webmoney , qiwi , Яндекс деньги , PM , на на Приватбанк, Альфа-Банк, ВТБ24, СберБанк и другие...- Очень вы…	0
294	294	Банк ВТБ 24 повысил ставки по трем вкладам в рублях	1
295	295	1 ноября 2013 года Сбербанк России запустил программу, в рамках которой клиенты – физические лица, допустившую просрочку по своей задолженн	0
296	296	Клиенты Сбербанка России временно не смогут пользоваться карточками. Сбербанк приостановил работу карт по всей России, включая Кубань.	-1
297	297	Сбербанк москвы программа молодая семья -	0
298	298	Сбербанк предоставил своим клиентам возможность самостоятельной регистрации в Сбербанк Онлайн	1
299	299	Начнёт администрация думать голой.	-1
300	300	А мы как раз сегодня получили от юристов информацию, что ЕС и США вводят еще санкции против рос компаний, в том числе Газпромбанк, втб и др.	-1
301	301	Как получить кредитную карту россельхозбанка	0
302	302	Реструктуризация кредита в ВТБ 24	0
303	303	Взять кредит в банке газпромбанк	0
304	304	Сбербанк поможет своему должнику построить Керченский мост	1
305	305	RT Бланки Для Оформления Кредита В Россельхозбанке Читинской Области	0
306	306	образец заявления в сбербанк о возврате денег излишне удержанной удержанной денег	0
307	307	Газпромбанк усинск получить кредит процентные ставки	0
308	308	Взять кредит сбербанк сургут	0
309	309	образец заполнения заявки на потребительский кредит сбербанк заполнения кредит	0
310	310	25 июля 2014 года в Марийском филиале Россельхозбанка стартует акция «Ипотечный десант», в рамках которой специалисты Банка в удобном для В	0
311	311	Как взять кредит в газпромбанке в дзержинске	0
312	312	Поволжский Сбербанк проведет семинар по брокерскому обслуживанию.Сотрудники Банка расскажут, как грамотно инвестировать в рынок ценных бума	0
313	313	Санкции против Роснефти новатека вэба и газпромбанка не означают запрет на деятельность или заморозку активов	1
314	314	Взять кредит сбербанк условия	0
315	315	Поэтому открыл он сбор..закрыл он сбор..какая разница..Я знаю,где стоит банкомат Альфабанка..Антон! Маша! Пусть вам ПОВЕЗЕТ!!	0
316	316	Взять кредит альфа банк игарка	0
317	317	Россельхозбанк в рамках совместного благотворительного проекта с Автономной некоммерческой организацией «Центр по изучению и сохранению поп	0
318	318	Гребанный банк Москвы,пожалуйста хватит мне звонить на рабочий! Суки,ну в воскресенье то за что?!	-1
319	319	«Россельхозбанк» предлагает своим клиентам индивидуальные сейфовые ячейки - Новая Сибирь	0
320	320	Втб 24 оформить кредитную карту онлайн кослан	0
321	321	RT Сбербанк России не только установили банкомат на форуме, но и провели футбольный турнир! Селигер2014	1
322	322	Райффайзен взять кредит банк	0
323	323	с Альфа-кликом у меня как-то сразу не сложилось)) тогда мне проще через банк.	-1
324	324	Сбербанк и ВТБ24 повышают проценты по вкладам.Госбанки догоняют рынок: Сбербанк 23 июня повысил ставки по отдельным видам вкладов - онлайн-	1
325	325	Взять кредит в в россельхозбанке	0
326	326	Хрустальная гарнитура Сбербанк России	0
327	327	Вот! не перестаю повторять: на почте как в сбербанк есть адекватные люди, мне там всегда помогают, если простить нормально	1
328	328	В преддверии Дня Военно-морского флота, который отмечается 27 июля, Дальневосточный Сбербанк предлагает приобрести памятные монеты с изобра	0
329	329	Наталья, привет.(можно на ты?) благодаря тебе научилась пользоваться альфа-кликом! попробовала перевести деньги.	0
330	330	RT Цифра дня: средняя зарплата в Газпромбанке превышает 375 тысяч рублей	0
331	331	Как взять кредит на покупку трактора россельхозбанк	0
332	332	Втб 24 как взять кредит кредит	0
